股票代码,股东股票代码2,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000018,000036,8793.59万,6.98%,流通A股,3,2019-09-30
000019,000061,7944.75万,16.99%,流通A股,1,2019-09-30
000027,600011,9.92亿,25.02%,流通A股,2,2019-09-30
000027,000539,1260.00万,0.32%,流通A股,9,2019-09-30
000030,002048,2.53亿,13.97%,流通A股,3,2019-09-30
000043,001979,1.49亿,22.36%,流通A股,1,2019-09-30
000060,000878,3289.47万,0.92%,流通A股,6,2019-09-30
000068,000058,1.61亿,16.01%,流通A股,2,2019-09-30
000401,601992,9432.65万,7.00%,流通A股,2,2019-09-30
000404,600839,2.13亿,30.66%,流通A股,1,2019-09-30
000421,600611,609.42万,1.06%,流通A股,4,2019-09-30
000429,000776,3036.44万,1.84%,流通A股,6,2019-09-30
000509,601881,1650.96万,2.00%,流通A股,3,2019-09-30
000513,600380,2.21亿,24.18%,流通A股,2,2019-09-30
000520,600016,2941.14万,2.91%,流通A股,4,2019-09-30
000521,600839,1.79亿,18.53%,流通A股,1,2019-09-30
000555,601881,1866.00万,2.00%,流通A股,5,2019-09-30
000572,000009,6330.00万,3.85%,流通A股,4,2019-09-30
000586,601869,539.23万,2.79%,流通A股,5,2019-09-30
000587,300090,3374.55万,2.78%,流通A股,2,2019-09-30
000593,000027,154.00万,0.43%,流通A股,7,2019-09-30
000601,000027,1662.98万,1.54%,流通A股,5,2019-09-30
000613,000735,6388.60万,18.05%,流通A股,1,2019-09-30
000620,000576,1483.81万,0.78%,流通A股,10,2019-09-30
000623,000776,4342.79万,3.80%,流通A股,3,2019-09-30
000633,002500,145.19万,0.38%,流通A股,7,2019-09-30
000636,600837,700.00万,0.78%,流通A股,8,2019-09-30
000662,601099,4027.90万,3.69%,流通A股,9,2019-09-30
000665,000839,7627.89万,7.92%,流通A股,4,2019-09-30
000672,600070,4700.00万,5.78%,流通A股,4,2019-09-30
000673,601099,1580.00万,2.00%,流通A股,4,2019-09-30
000686,600881,7.21亿,30.81%,流通A股,1,2019-09-30
000692,300024,369.00万,0.69%,流通A股,3,2019-09-30
000702,000688,355.74万,1.33%,流通A股,6,2019-09-30
000715,300024,1788.00万,4.31%,流通A股,6,2019-09-30
000728,000543,1.44亿,4.89%,流通A股,4,2019-09-30
000728,600063,9116.31万,3.09%,流通A股,6,2019-09-30
000738,601939,1066.86万,0.93%,流通A股,9,2019-09-30
000750,600310,1.58亿,3.76%,流通A股,4,2019-09-30
000750,600252,1.21亿,2.86%,流通A股,5,2019-09-30
000759,601933,3405.11万,5.00%,流通A股,6,2019-09-30
000776,000623,12.52亿,16.43%,流通A股,2,2019-09-30
000776,600739,12.50亿,16.40%,流通A股,3,2019-09-30
000776,000685,6.87亿,9.01%,流通A股,4,2019-09-30
000779,600272,623.79万,3.35%,流通A股,5,2019-09-30
000783,600068,1.36亿,2.46%,流通A股,10,2019-09-30
000783,000883,5.07亿,9.17%,流通A股,2,2019-09-30
000783,600851,2.48亿,4.49%,流通A股,4,2019-09-30
000791,601881,390.00万,0.29%,流通A股,5,2019-09-30
000797,000732,2196.58万,1.41%,流通A股,4,2019-09-30
000799,601198,250.28万,0.77%,流通A股,6,2019-09-30
000813,601881,1020.76万,0.94%,流通A股,6,2019-09-30
000839,601066,2006.01万,0.51%,流通A股,4,2019-09-30
000868,600418,1.47亿,21.13%,流通A股,1,2019-09-30
000875,600369,4295.07万,2.20%,流通A股,3,2019-09-30
000883,600900,16.50亿,25.36%,流通A股,2,2019-09-30
000892,300315,1391.50万,2.59%,流通A股,6,2019-09-30
000892,300251,1354.61万,2.52%,流通A股,7,2019-09-30
000899,600886,3.29亿,33.72%,流通A股,2,2019-09-30
000900,001965,1.07亿,7.04%,流通A股,2,2019-09-30
000910,600999,649.58万,1.20%,流通A股,7,2019-09-30
000918,600030,769.95万,0.43%,流通A股,6,2019-09-30
000925,600797,5731.71万,12.65%,流通A股,1,2019-09-30
000950,600828,1833.19万,2.58%,流通A股,4,2019-09-30
000950,600196,887.44万,1.25%,流通A股,8,2019-09-30
000950,600332,649.81万,0.91%,流通A股,9,2019-09-30
000966,000883,1.20亿,10.80%,流通A股,2,2019-09-30
000970,600051,1713.00万,1.61%,流通A股,4,2019-09-30
001965,600958,612.65万,1.10%,流通A股,7,2019-09-30
001979,000069,6355.93万,0.80%,流通A股,10,2019-09-30
002009,000581,471.00万,1.51%,流通A股,4,2019-09-30
002014,002701,1.13亿,22.61%,流通A股,2,2019-09-30
002033,002004,7837.05万,14.26%,流通A股,2,2019-09-30
002036,600177,3576.46万,5.03%,流通A股,3,2019-09-30
002040,600018,4974.96万,12.48%,流通A股,2,2019-09-30
002045,000676,2300.81万,4.93%,流通A股,2,2019-10-29
002049,600100,1207.93万,1.99%,流通A股,2,2019-09-30
002059,601881,1071.51万,1.47%,流通A股,7,2019-09-30
002063,600795,5264.23万,6.91%,流通A股,2,2019-09-30
002074,000541,4545.55万,4.49%,流通A股,2,2019-09-30
002085,002252,4220.00万,2.00%,流通A股,7,2019-09-30
002088,601377,1200.00万,3.83%,流通A股,4,2019-09-30
002094,002336,2521.97万,4.02%,流通A股,4,2019-09-30
002096,600030,223.45万,0.60%,流通A股,7,2019-09-30
002100,601788,970.01万,0.96%,流通A股,8,2019-09-30
002101,600152,1234.85万,2.90%,流通A股,6,2019-09-30
002109,002783,168.00万,0.31%,流通A股,7,2019-09-30
002110,601555,1548.50万,0.70%,流通A股,10,2019-09-30
002116,600833,2288.99万,5.51%,流通A股,2,2019-09-30
002117,000977,1945.83万,3.57%,流通A股,4,2019-09-30
002138,601066,796.42万,1.14%,流通A股,10,2019-09-30
002142,600177,7.96亿,14.17%,流通A股,2,2019-09-30
002142,600884,8344.72万,1.48%,流通A股,7,2019-09-30
002187,000524,815.40万,2.38%,流通A股,3,2019-09-30
002189,601066,62.90万,0.32%,流通A股,9,2019-09-30
002195,002266,8.25亿,14.76%,流通A股,1,2019-09-30
002217,002594,3.46亿,12.83%,流通A股,2,2019-09-30
002221,601066,2029.61万,1.33%,流通A股,10,2019-09-30
002229,601881,290.00万,0.71%,流通A股,3,2019-09-30
002237,600362,2.73亿,32.06%,流通A股,1,2019-09-30
002239,601788,3994.88万,1.30%,流通A股,8,2019-09-30
002249,600366,3245.00万,1.98%,流通A股,7,2019-09-30
002278,603619,871.62万,2.53%,流通A股,7,2019-09-30
002301,002736,718.54万,1.12%,流通A股,9,2019-11-15
002302,601668,1.55亿,12.52%,流通A股,2,2019-09-30
002302,000877,1341.95万,1.08%,流通A股,9,2019-09-30
002305,601881,3468.00万,2.00%,流通A股,6,2019-09-30
002320,000088,1.39亿,16.63%,流通A股,2,2019-09-30
002320,600030,160.74万,0.19%,流通A股,8,2019-09-30
002321,601881,372.00万,0.70%,流通A股,8,2019-09-30
002327,601555,1982.63万,3.78%,流通A股,3,2019-09-30
002332,600216,1626.91万,1.80%,流通A股,8,2019-09-30
002338,000636,1199.00万,5.00%,流通A股,2,2019-09-30
002343,300113,850.28万,2.11%,流通A股,4,2019-09-30
002344,002144,3030.00万,2.38%,流通A股,3,2019-09-30
002354,300251,3388.45万,4.84%,流通A股,2,2019-09-30
002364,601881,1127.12万,2.19%,流通A股,3,2019-09-30
002415,600030,9690.32万,1.20%,流通A股,7,2019-09-30
002431,600533,1.77亿,13.33%,流通A股,2,2019-09-30
002451,600030,346.14万,0.83%,流通A股,4,2019-09-30
002454,600386,1368.90万,2.19%,流通A股,2,2019-09-30
002454,000421,540.30万,0.87%,流通A股,8,2019-09-30
002468,600030,658.31万,1.98%,流通A股,7,2019-09-30
002480,600894,3226.85万,5.04%,流通A股,3,2019-09-30
002505,600958,5101.74万,0.93%,流通A股,7,2019-09-30
002523,601068,5386.69万,3.99%,流通A股,2,2019-09-30
002564,601727,1.32亿,17.69%,流通A股,1,2019-09-30
002566,002500,110.46万,0.48%,流通A股,12,2019-09-30
002577,600030,43.48万,0.15%,流通A股,10,2019-09-30
002608,601009,9287.43万,8.73%,流通A股,2,2019-09-30
002608,600919,2790.00万,2.62%,流通A股,7,2019-09-30
002626,600195,1.40亿,23.28%,流通A股,2,2019-09-30
002628,601881,450.00万,0.62%,流通A股,10,2019-09-30
002633,002500,91.33万,0.61%,流通A股,7,2019-09-30
002643,600784,7519.78万,8.27%,流通A股,2,2019-09-30
002670,600269,9641.18万,5.94%,流通A股,5,2019-09-30
002672,600981,5008.77万,5.82%,流通A股,3,2019-09-30
002673,600649,5.28亿,15.09%,流通A股,2,2019-09-30
002697,601933,2.86亿,26.49%,流通A股,1,2019-09-30
002712,002712,3692.63万,9.82%,流通A股,2,2019-09-30
002727,000776,399.29万,1.33%,流通A股,10,2019-09-30
002736,600266,3.43亿,4.18%,流通A股,4,2019-09-30
002756,002318,1036.00万,5.61%,流通A股,3,2019-09-30
002782,002500,43.19万,0.10%,流通A股,6,2019-09-30
002815,601901,254.48万,0.97%,流通A股,9,2019-09-30
002842,600958,83.20万,0.72%,流通A股,6,2019-09-30
002843,000157,4800.00万,38.10%,流通A股,1,2019-09-30
002855,000021,1257.38万,15.08%,流通A股,1,2019-09-30
002855,601688,68.09万,0.82%,流通A股,5,2019-09-30
002855,600958,60.00万,0.72%,流通A股,6,2019-09-30
002868,601688,14.87万,0.39%,流通A股,9,2019-09-30
002871,601688,26.03万,0.90%,流通A股,4,2019-09-30
002881,601688,40.18万,0.89%,流通A股,2,2019-09-30
002888,601688,14.93万,0.42%,流通A股,8,2019-09-30
002895,601881,75.00万,0.84%,流通A股,4,2019-09-30
002897,000783,31.38万,0.46%,流通A股,10,2019-09-30
002897,600030,60.26万,0.89%,流通A股,6,2019-09-30
002908,601688,53.02万,0.45%,流通A股,10,2019-09-30
002912,300188,221.28万,4.27%,流通A股,3,2019-09-30
002918,601066,220.54万,1.63%,流通A股,5,2019-09-30
002927,600525,1902.75万,26.45%,流通A股,1,2019-09-30
002947,601688,46.00万,1.51%,流通A股,4,2019-09-30
002955,000783,20.31万,0.59%,流通A股,2,2019-09-30
002957,601688,12.35万,0.30%,流通A股,10,2019-09-30
002967,002152,3059.44万,INF%,三板流通A股,2,2019-06-30
003816,601628,6.71亿,5.08%,流通H股,3,2019-09-30
300016,000565,4046.45万,10.13%,流通A股,1,2019-09-30
300035,300073,1575.90万,3.87%,流通A股,2,2019-09-30
300082,002054,3269.59万,4.83%,流通A股,2,2019-09-30
300087,002385,6096.46万,17.48%,流通A股,2,2019-09-30
300094,601933,9364.65万,12.50%,流通A股,2,2019-09-30
300095,600320,2225.78万,8.08%,流通A股,2,2019-09-30
300100,601881,930.00万,2.40%,流通A股,3,2019-09-30
300120,601099,297.13万,1.27%,流通A股,19,2019-09-30
300147,300147,513.96万,0.78%,流通A股,8,2019-09-30
300152,601688,169.81万,0.24%,流通A股,7,2019-09-30
300165,601881,434.00万,1.36%,流通A股,4,2019-09-30
300178,002736,288.46万,0.49%,流通A股,9,2019-09-30
300197,600999,3225.48万,1.94%,流通A股,6,2019-09-30
300197,601066,2767.19万,1.66%,流通A股,8,2019-09-30
300210,601066,484.00万,1.21%,流通A股,5,2019-09-30
300214,600958,380.00万,1.12%,流通A股,6,2019-09-30
300241,000100,440.86万,1.06%,流通A股,10,2019-09-30
300250,601881,540.00万,3.57%,流通A股,2,2019-09-30
300255,002736,440.00万,0.74%,流通A股,6,2019-09-30
300265,601688,52.08万,0.15%,流通A股,6,2019-09-30
300283,600030,88.31万,0.39%,流通A股,10,2019-09-30
300289,600998,450.00万,1.08%,流通A股,7,2019-09-30
300327,600030,383.80万,1.52%,流通A股,5,2019-09-30
300330,601688,91.66万,0.55%,流通A股,8,2019-09-30
300339,002315,798.93万,1.08%,流通A股,10,2019-09-30
300354,601688,35.30万,0.46%,流通A股,7,2019-09-30
300362,601162,1108.82万,3.52%,流通A股,5,2019-09-30
300411,300306,674.59万,4.56%,流通A股,3,2019-09-30
300412,601881,519.00万,2.34%,流通A股,4,2019-09-30
300451,600177,2884.75万,5.29%,流通A股,3,2019-09-30
300457,600999,614.71万,2.44%,流通A股,6,2019-09-30
300477,300340,881.82万,1.84%,流通A股,5,2019-09-30
300483,601688,43.32万,0.86%,流通A股,9,2019-09-30
300497,002326,1829.44万,9.55%,流通A股,1,2019-09-30
300499,002123,389.45万,3.12%,流通A股,6,2019-09-30
300519,002500,34.20万,0.30%,流通A股,10,2019-09-30
300554,601688,44.53万,0.96%,流通A股,7,2019-09-30
300557,000786,150.71万,4.47%,流通A股,2,2019-09-30
300575,600958,65.01万,1.05%,流通A股,9,2019-09-30
300576,600030,30.76万,0.77%,流通A股,10,2019-09-30
300577,600030,151.82万,2.36%,流通A股,8,2019-09-30
300599,000563,36.95万,0.41%,流通A股,10,2019-09-30
300604,000776,104.10万,0.82%,流通A股,8,2019-09-30
300605,601688,27.68万,0.38%,流通A股,9,2019-09-30
300607,600837,100.01万,1.74%,流通A股,9,2019-09-30
300610,002500,28.64万,0.57%,流通A股,10,2019-09-30
300638,601881,46.00万,1.15%,流通A股,4,2019-09-30
300643,601881,679.00万,8.11%,流通A股,2,2019-09-30
300644,600287,919.10万,22.30%,流通A股,1,2019-12-02
300653,601881,78.11万,1.80%,流通A股,5,2019-09-30
300656,000997,735.08万,14.37%,流通A股,1,2019-09-30
300663,600570,483.51万,2.62%,流通A股,6,2019-09-30
300685,600958,191.67万,2.10%,流通A股,9,2019-09-30
300712,002498,530.40万,6.76%,流通A股,3,2019-09-30
300717,601688,15.86万,0.37%,流通A股,9,2019-09-30
300720,002500,20.77万,0.50%,流通A股,10,2019-09-30
300725,000750,208.35万,2.07%,流通A股,9,2019-09-30
300752,600030,9.80万,0.34%,流通A股,7,2019-09-30
300759,000750,281.62万,4.29%,流通A股,2,2019-09-30
300767,601688,22.04万,1.10%,流通A股,8,2019-09-30
300772,000776,103.03万,1.40%,流通A股,1,2019-09-30
300775,601688,20.36万,0.41%,流通A股,6,2019-09-30
300777,601688,15.35万,0.38%,流通A股,9,2019-09-30
300780,601688,22.32万,0.61%,流通A股,1,2019-09-30
300790,601198,5.22万,0.18%,流通A股,5,2019-09-30
300792,000776,5.77万,0.29%,流通A股,1,2019-09-30
430229,000776,55.10万,-,三板流通A股,5,2019-06-30
600012,001965,4.04亿,24.37%,流通A股,3,2019-09-30
600016,600811,12.80亿,2.92%,流通A股,9,2019-09-30
600020,001965,3.47亿,15.43%,流通A股,2,2019-09-30
600021,601727,2300.61万,0.98%,流通A股,10,2019-09-30
600021,600900,1.27亿,5.40%,流通A股,3,2019-09-30
600021,600958,3528.17万,1.50%,流通A股,6,2019-09-30
600025,601377,3300.00万,0.37%,流通A股,5,2019-09-30
600027,600642,1.43亿,1.64%,流通A股,5,2019-09-30
600027,601727,7500.00万,0.86%,流通A股,8,2019-09-30
