股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000007,北京电子城有限责任公司,361.50万,1.17%,流通A股,7,2019-09-30
000012,中国银河国际证券(香港)有限公司,4154.44万,1.35%,流通B股,6,2019-09-30
000017,国信证券(香港)经纪有限公司,1390.94万,2.52%,流通B股,3,2019-09-30
000019,渤海证券股份有限公司,113.48万,0.24%,流通A股,8,2019-09-30
000020,长江证券经纪(香港)有限公司,535.52万,1.89%,流通B股,4,2019-09-30
000037,深圳广聚实业有限公司,7366.68万,12.22%,流通A股,2,2019-09-30
000065,中车长春轨道客车股份有限公司,353.87万,0.56%,流通A股,6,2019-09-30
000065,中车株洲电力机车有限公司,180.39万,0.29%,流通A股,8,2019-09-30
000090,深圳市国信弘盛股权投资基金(有限合伙),1504.39万,0.81%,流通A股,9,2019-09-30
000156,东方星空创业投资有限公司,4613.47万,3.60%,流通A股,3,2019-10-18
000401,冀东发展集团有限责任公司,4.04亿,30.01%,流通A股,1,2019-09-30
000420,上海方大投资管理有限责任公司,3.20亿,17.30%,流通A股,1,2019-09-30
000426,甘肃西北矿业集团有限公司,1.46亿,11.23%,流通A股,2,2019-09-30
000429,西藏赢悦投资管理有限公司,1.01亿,6.13%,流通A股,4,2019-09-30
000430,国机资本控股有限公司,1193.02万,3.60%,流通A股,5,2019-09-30
000513,深圳市海滨制药有限公司,1683.08万,1.84%,流通A股,4,2019-09-30
000520,人保投资控股有限公司,484.27万,0.48%,流通A股,9,2019-09-30
000521,长虹(香港)贸易有限公司,2707.78万,2.81%,流通B股,3,2019-09-30
000531,广州发展电力企业有限公司,1.26亿,18.35%,流通A股,2,2019-09-30
000531,广州港能源发展有限公司,1129.62万,1.65%,流通A股,5,2019-09-30
000532,力合科创集团有限公司,3157.13万,9.19%,流通A股,4,2019-09-30
000539,深圳广发电力投资有限公司,1.17亿,3.48%,流通A股,3,2019-09-30
000544,河南资产管理有限公司,4824.68万,4.95%,流通A股,2,2019-09-30
000552,白银有色(北京)国际投资有限公司,3814.00万,1.67%,流通A股,7,2019-09-30
000559,中国汽车工业投资开发有限公司,5545.38万,2.01%,流通A股,3,2019-09-30
000563,人保投资控股有限公司,2767.70万,0.70%,流通A股,5,2019-09-30
000582,中国华电集团财务有限公司,2059.78万,7.83%,流通A股,2,2019-09-30
000591,谦德咏仁新能源投资(苏州)有限公司,4537.05万,2.23%,流通A股,8,2019-09-30
000598,三峡资本控股有限责任公司,9612.49万,3.22%,流通A股,2,2019-09-30
000603,赤峰红烨投资有限公司,2129.88万,3.63%,流通A股,4,2019-09-30
000612,联储证券有限责任公司,3504.58万,2.95%,流通A股,6,2019-09-30
000613,海南雅安居物业服务有限公司,820.58万,2.32%,流通A股,4,2019-09-30
000630,浙江上峰建材有限公司,2159.60万,0.23%,流通A股,8,2019-09-30
000635,国电英力特能源化工集团股份有限公司,1.55亿,51.25%,流通A股,1,2019-09-30
000738,中国航发南方工业有限公司,1.99亿,17.39%,流通A股,2,2019-09-30
000759,重庆永辉超市有限公司,1.02亿,15.03%,流通A股,2,2019-09-30
000759,永辉物流有限公司,6701.65万,9.85%,流通A股,4,2019-09-30
000768,中航投资控股有限公司,1.60亿,5.78%,流通A股,3,2019-09-30
000783,三峡资本控股有限责任公司,3.33亿,6.02%,流通A股,3,2019-09-30
000789,浙江上峰建材有限公司,847.23万,1.06%,流通A股,4,2019-09-30
000829,北京国际信托有限公司,8630.00万,9.28%,流通A股,3,2019-09-30
000850,天津泰达股权投资基金管理有限公司,1630.00万,1.73%,流通A股,2,2019-09-30
000851,大唐高新创业投资有限公司,405.28万,0.47%,流通A股,8,2019-09-30
000856,冀东发展集团有限责任公司,6810.00万,30.00%,流通A股,1,2019-09-30
000862,中铝宁夏能源集团有限公司,7932.38万,15.82%,流通A股,1,2019-09-30
000883,长电资本控股有限责任公司,2.12亿,3.26%,流通A股,5,2019-09-30
000885,长江日昇投资有限公司,200.00万,0.40%,流通A股,7,2019-09-30
000889,深圳茂业百货有限公司,1243.61万,2.00%,流通A股,6,2019-09-30
000901,国机资本控股有限公司,979.05万,1.73%,流通A股,4,2019-09-30
000910,江苏费马投资管理有限公司,648.51万,1.20%,流通A股,8,2019-09-30
000927,一汽财务有限公司,296.04万,0.19%,流通A股,5,2019-12-05
000938,同方计算机有限公司,5566.07万,2.72%,流通A股,6,2019-09-30
000938,北京国研天成投资管理有限公司,5010.36万,2.45%,流通A股,7,2019-09-30
000983,上海宝钢国际经济贸易有限公司,4264.83万,1.35%,流通A股,5,2019-09-30
002011,浙江盾安精工集团有限公司,2.70亿,29.59%,流通A股,1,2019-09-30
002011,国机财务有限责任公司,1654.11万,1.81%,流通A股,4,2019-09-30
002011,中广核财务有限责任公司,655.08万,0.72%,流通A股,8,2019-09-30
002013,中航航空产业投资有限公司,1.17亿,3.23%,流通A股,3,2019-09-30
002014,北京奥瑞金包装容器有限公司,845.26万,1.69%,流通A股,6,2019-09-30
002033,丽江玉龙雪山旅游开发有限责任公司,8643.84万,15.73%,流通A股,1,2019-09-30
002034,三峡资本控股有限责任公司,1087.10万,4.20%,流通A股,3,2019-09-30
002039,长电资本控股有限责任公司,1516.98万,4.97%,流通A股,3,2019-09-30
002039,宁波宁电投资发展有限公司,472.16万,1.55%,流通A股,7,2019-09-30
002061,五矿资本控股有限公司,729.05万,0.97%,流通A股,7,2019-09-30
002069,江苏汇鸿国际集团中鼎控股股份有限公司,216.00万,0.31%,流通A股,10,2019-09-30
002106,深圳市市政工程总公司,5196.54万,7.38%,流通A股,2,2019-09-30
002119,宁波普利赛思电子有限公司,7400.92万,20.14%,流通A股,1,2019-09-30
002140,化学工业第三设计院有限公司,3.17亿,60.13%,流通A股,1,2019-09-30
002159,中铁第四勘察设计院集团有限公司,119.34万,0.86%,流通A股,10,2019-09-30
002174,国盛证券有限责任公司,3286.97万,5.10%,流通A股,4,2019-09-30
002190,成都凯天电子股份有限公司,329.01万,0.95%,流通A股,2,2019-09-30
002248,山东省高新技术创业投资有限公司,1509.07万,5.15%,流通A股,2,2019-09-30
002249,宁波韵升投资有限公司,2480.00万,1.52%,流通A股,10,2019-09-30
002253,国机财务有限责任公司,131.30万,0.63%,流通A股,10,2019-09-30
002302,中建新疆建工(集团)有限公司,3.73亿,30.14%,流通A股,1,2019-09-30
002302,中国建筑第三工程局有限公司,1.55亿,12.52%,流通A股,3,2019-09-30
002302,中国建筑第五工程局有限公司,3890.61万,3.14%,流通A股,4,2019-09-30
002302,中国建筑第四工程局有限公司,2131.53万,1.72%,流通A股,5,2019-09-30
002305,中国电建地产集团有限公司,3.89亿,22.46%,流通A股,1,2019-09-30
002354,北京光线影业有限公司,906.00万,1.29%,流通A股,9,2019-09-30
002358,河南资产管理有限公司,4155.13万,4.56%,流通A股,5,2019-09-30
002363,五矿国际信托有限公司,301.68万,0.73%,流通A股,6,2019-09-30
002371,北京芯动能投资基金(有限合伙),354.32万,0.77%,流通A股,8,2019-09-30
002376,山东省高新技术创业投资有限公司,1321.84万,2.05%,流通A股,6,2019-09-30
002379,渤海证券股份有限公司,325.48万,0.35%,流通A股,6,2019-09-30
002386,江海证券有限公司,955.96万,1.22%,流通A股,9,2019-09-30
002402,力合科创集团有限公司,1300.30万,1.81%,流通A股,6,2019-09-30
002411,深圳市创新投资集团有限公司,1012.85万,0.71%,流通A股,9,2019-09-30
002412,上海复星医药产业发展有限公司,2426.38万,4.96%,流通A股,2,2019-09-30
002437,国盛证券有限责任公司,4952.73万,2.28%,流通A股,3,2019-09-30
002470,雅戈尔投资有限公司,1.11亿,4.10%,流通A股,3,2019-09-30
002481,共青城银汐投资管理合伙企业(有限合伙),702.49万,0.63%,流通A股,4,2019-09-30
002483,国海创新资本投资管理有限公司,1607.46万,2.39%,流通A股,3,2019-09-30
002483,同方金融控股(深圳)有限公司,432.72万,0.64%,流通A股,6,2019-09-30
002492,深圳市华信创业投资有限公司,528.24万,1.33%,流通A股,5,2019-09-30
002515,南京高科新创投资有限公司,2910.00万,3.54%,流通A股,5,2019-09-30
002517,海通开元投资有限公司,4000.00万,2.70%,流通A股,7,2019-09-30
002544,深圳市中科招商创业投资有限公司,2900.00万,5.66%,流通A股,2,2019-09-30
002643,山东鲁银科技投资有限公司,3536.00万,3.89%,流通A股,5,2019-09-30
002646,青海华实科技投资管理有限公司,2.81亿,62.45%,流通A股,1,2019-09-30
002657,国盛证券有限责任公司,670.00万,2.37%,流通A股,3,2019-09-30
002659,华轩(上海)股权投资基金有限公司,1682.43万,3.37%,流通A股,2,2019-09-30
002659,国盛证券有限责任公司,997.10万,2.00%,流通A股,6,2019-09-30
002665,国盛证券有限责任公司,3165.49万,1.40%,流通A股,9,2019-12-09
002669,国泰君安创新投资有限公司,279.96万,1.19%,流通A股,8,2019-09-30
002672,江苏汇鸿创业投资有限公司,2599.50万,3.02%,流通A股,6,2019-09-30
002673,中铁宝桥集团有限公司,2462.32万,0.70%,流通A股,8,2019-09-30
002686,浙江省浙商资产管理有限公司,7946.14万,23.32%,流通A股,1,2019-09-30
002719,恒泰证券股份有限公司,169.38万,1.05%,流通A股,6,2019-09-30
002753,深圳市东方富海投资管理股份有限公司,4049.99万,20.21%,流通A股,1,2019-09-30
002800,海通开元投资有限公司,100.00万,1.40%,流通A股,3,2019-09-30
002820,国盛证券有限责任公司,444.06万,3.28%,流通A股,6,2019-09-30
002827,湖南金能科技股份有限公司,667.36万,7.05%,流通A股,2,2019-09-30
002827,雅化集团绵阳实业有限公司,499.08万,5.27%,流通A股,3,2019-09-30
002840,温氏(深圳)股权投资管理有限公司,896.23万,6.11%,流通A股,2,2019-09-30
002853,广发信德投资管理有限公司,606.40万,12.16%,流通A股,1,2019-09-30
002865,海马汽车有限公司,118.33万,3.11%,流通A股,1,2019-09-30
002887,深圳市国信弘盛股权投资基金(有限合伙),1118.44万,16.76%,流通A股,1,2019-09-30
002910,海通国际证券有限公司,221.70万,2.03%,流通H股,5,2019-09-30
002910,招商证券(香港)有限公司,181.90万,1.67%,流通H股,7,2019-09-30
002917,北京航天科工军民融合科技成果转化创业投资基金(有限合伙),639.82万,11.81%,流通A股,1,2019-09-30
002921,山东省高新技术创业投资有限公司,468.29万,9.70%,流通A股,1,2019-09-30
002928,广东温氏投资有限公司,1709.78万,8.37%,流通A股,2,2019-09-30
002935,成都亚商新兴创业投资有限公司,365.09万,4.50%,流通A股,3,2019-09-30
300021,上海隆邈实业发展合伙企业(有限合伙),746.23万,1.15%,流通A股,6,2019-09-30
300080,中国平煤神马能源化工集团有限责任公司,1.01亿,20.05%,流通A股,1,2019-10-25
300084,中国华电集团财务有限公司,1852.77万,5.62%,流通A股,2,2019-09-30
300097,湖州摩山资产管理有限公司,326.89万,1.62%,流通A股,8,2019-09-30
300105,国电科技环保集团股份有限公司,1.19亿,23.25%,流通A股,1,2019-09-30
300114,中航航空产业投资有限公司,1207.66万,2.04%,流通A股,4,2019-09-30
300140,中交西安筑路机械有限公司,2000.00万,8.10%,流通A股,2,2019-09-30
300185,山东省高新技术创业投资有限公司,1.85亿,6.81%,流通A股,1,2019-09-30
300193,五矿证券有限公司,852.10万,1.86%,流通A股,5,2019-09-30
300210,上海方大投资管理有限责任公司,888.01万,2.22%,流通A股,3,2019-09-30
300244,上海复星平耀投资管理有限公司,501.31万,1.31%,流通A股,7,2019-09-30
300274,安徽安元投资基金有限公司,1435.12万,1.34%,流通A股,8,2019-09-30
300276,湖北高投产控投资股份有限公司,1058.20万,2.91%,流通A股,7,2019-09-30
300281,海南海药投资有限公司,1759.66万,5.90%,流通A股,3,2019-09-30
300281,四川四凯计算机软件有限公司,316.00万,1.06%,流通A股,7,2019-09-30
300300,国盛证券有限责任公司,1320.64万,1.97%,流通A股,5,2019-11-25
300319,上海隆华汇股权投资基金合伙企业(有限合伙),2538.16万,3.98%,流通A股,2,2019-09-30
300332,湖北省国有资本运营有限公司,1900.69万,2.67%,流通A股,3,2019-09-30
300334,盛达矿业股份有限公司,173.64万,0.59%,流通A股,7,2019-09-30
300362,光大资本投资有限公司,2217.63万,7.03%,流通A股,4,2019-09-30
300364,诸暨华越投资有限公司,1321.63万,2.46%,流通A股,3,2019-09-30
300388,三峡资本控股有限责任公司,2635.91万,4.80%,流通A股,3,2019-09-30
300388,中广核财务有限责任公司,596.84万,1.09%,流通A股,6,2019-09-30
300421,上海鸿立股权投资有限公司,199.40万,1.09%,流通A股,7,2019-09-30
300425,广东宝新资产管理有限公司,1620.25万,2.57%,流通A股,3,2019-09-30
300427,长江成长资本投资有限公司,256.87万,1.04%,流通A股,7,2019-09-30
300434,上海复星医药产业发展有限公司,550.72万,2.44%,流通A股,5,2019-09-30
300452,上海复星医药产业发展有限公司,1749.89万,15.93%,流通A股,1,2019-09-30
300458,北京芯动能投资基金(有限合伙),526.38万,2.47%,流通A股,7,2019-09-30
300481,北京芯动能投资基金(有限合伙),597.31万,2.33%,流通A股,2,2019-09-30
300489,深圳市创新投资集团有限公司,60.07万,0.84%,流通A股,8,2019-09-30
300491,宏源汇富创业投资有限公司,270.43万,2.29%,流通A股,6,2019-09-30
300497,华创证券有限责任公司,1481.60万,7.73%,流通A股,2,2019-09-30
300579,上海市数字证书认证中心有限公司,192.34万,2.91%,流通A股,1,2019-09-30
300582,浙江华睿泰信创业投资有限公司,1300.00万,11.30%,流通A股,1,2019-09-30
300582,浙江华睿海越光电产业创业投资有限公司,308.00万,2.68%,流通A股,5,2019-09-30
300592,深圳市创新投资集团有限公司,939.88万,10.84%,流通A股,1,2019-09-30
300611,长江成长资本投资有限公司,1129.42万,15.39%,流通A股,1,2019-09-30
300624,浙江华睿盛银创业投资有限公司,749.14万,15.16%,流通A股,1,2019-09-30
300627,广发信德投资管理有限公司,385.53万,3.74%,流通A股,3,2019-09-30
