股票代码,被参控公司股票代码,参控关系,参控比例,投资金额,是否合并报表
000001,600725,其他,0.85%,3300.00万元,-
000001,601975,其他,2.72%,4.39亿元,-
000001,601916,其他,-,3200.00万元,-
000001,601005,其他,0.06%,1000.00万元,-
000009,600993,子公司,30.14%,2233.50万元,是
000028,600420,联营企业,16.28%,11.89亿元,-
000058,68,联营企业,16.01%,1.23亿元,-
000061,19,联营企业,-,3.58亿元,-
000088,2320,联营企业,-,5.35亿元,-
000096,37,联营企业,12.22%,-,-
000100,601229,联营企业,4.99%,86.33亿元,-
000157,2843,联营企业,22.86%,1.61亿元,-
000157,967,联营企业,12.62%,28.76亿元,-
000429,728,联营企业,-,7.88亿元,-
000531,987,联营企业,11.69%,-,-
000555,300378,联营企业,17.41%,-,-
000565,300016,联营企业,9.07%,1.15亿元,-
000568,2926,联营企业,-,21.50亿元,-
000589,601997,其他,-,-,-
000620,601577,联营企业,8.46%,-,-
000623,776,联营企业,17.45%,154.23亿元,-
000627,600620,联营企业,24.00%,-,-
000627,600751,其他,14.33%,-,-
000627,783,其他,4.38%,-,-
000685,776,联营企业,10.33%,81.02亿元,-
000703,601916,联营企业,4.00%,-,-
000729,600573,子公司,50.08%,4.96亿元,是
000735,613,联营企业,19.80%,5532.12万元,-
000786,300557,联营企业,-,6233.85万元,-
000839,601360,联营企业,1.64%,-,-
000839,600959,联营企业,10.24%,-,-
000839,665,联营企业,7.92%,5.91亿元,-
000850,601211,联营企业,-,-,-
000850,776,联营企业,-,-,-
000883,966,联营企业,-,4.18亿元,-
000883,783,联营企业,-,25.12亿元,-
000886,603069,联营企业,18.75%,2.26亿元,-
000936,601688,联营企业,-,-,-
000936,600919,联营企业,-,-,-
000937,600812,联营企业,15.33%,16.45亿元,-
000937,600722,其他,16.06%,6.77亿元,-
000977,2117,联营企业,3.57%,5400.01万元,-
000983,600740,联营企业,-,6.22亿元,-
001872,600018,联营企业,26.77%,227.46亿元,-
001872,601880,联营企业,-,32.49亿元,-
001965,601107,联营企业,-,32.77亿元,-
001965,600012,联营企业,-,25.79亿元,-
001965,600350,联营企业,-,45.43亿元,-
001965,600377,联营企业,-,38.99亿元,-
002004,2033,孙公司,29.99%,8.50亿元,是
002054,300082,联营企业,4.80%,-,-
002067,603168,其他,8.75%,-,-
002161,603508,联营企业,8.55%,3.81亿元,-
002266,2195,联营企业,14.29%,14.34亿元,-
002277,601577,其他,-,-,-
002318,2756,联营企业,2.88%,1.46亿元,-
002497,2917,联营企业,19.10%,1.38亿元,-
002531,300731,联营企业,19.64%,-,-
002608,600919,联营企业,8.04%,-,-
002701,2014,联营企业,24.32%,7.80亿元,-
600018,601229,联营企业,7.36%,114.02亿元,-
600018,2040,联营企业,-,5.02亿元,-
600019,600845,子公司,50.81%,15.20亿元,是
600023,601985,联营企业,-,23.97亿元,-
600028,600688,子公司,50.44%,-,是
600030,601066,联营企业,-,28.22亿元,-
600054,600909,其他,-,-,-
600064,600533,联营企业,12.20%,5.00亿元,-
600064,601009,其他,9.43%,67.65亿元,-
600079,601162,联营企业,12.06%,12.23亿元,-
600089,600888,联营企业,30.85%,13.51亿元,-
600100,600590,联营企业,19.31%,9.63亿元,-
600104,600841,子公司,48.05%,11.73亿元,是
600104,600741,子公司,58.32%,128.79亿元,是
600177,2142,联营企业,14.83%,134.12亿元,-
600183,688300,联营企业,31.02%,1.05亿元,-
600191,600015,其他,-,-,-
600195,2626,联营企业,22.67%,6.97亿元,-
600196,950,联营企业,2.06%,2.10亿元,-
600278,600909,其他,-,-,-
600310,750,联营企业,-,-,-
600330,300548,联营企业,13.20%,8201.46万元,-
600332,2727,联营企业,-,8.87亿元,-
600345,600133,联营企业,4.64%,2.00亿元,-
600345,601869,联营企业,15.82%,13.63亿元,-
600350,601198,联营企业,4.35%,23.58亿元,-
600350,603686,联营企业,4.93%,4.11亿元,-
600362,2237,孙公司,29.99%,-,是
600378,603037,联营企业,9.67%,-,-
600380,513,子公司,44.81%,6.09亿元,是
600418,868,子公司,25.20%,4.42亿元,是
600512,563,子公司,-,-,是
600533,2431,联营企业,11.87%,6.49亿元,-
600580,300427,其他,12.56%,8.09亿元,-
600633,300571,其他,1.66%,1.00亿元,-
600635,600611,联营企业,26.78%,18.57亿元,-
600637,2429,联营企业,-,22.23亿元,-
600649,2673,联营企业,15.09%,31.05亿元,-
600661,600530,联营企业,13.53%,1.31亿元,-
600664,600829,子公司,74.82%,10.99亿元,是
600726,600396,联营企业,20.92%,11.05亿元,-
600739,776,联营企业,16.42%,147.49亿元,-
600741,603013,联营企业,-,9.09亿元,-
600776,300548,联营企业,11.67%,7054.02万元,-
600784,2643,联营企业,12.36%,3.73亿元,-
600790,601579,联营企业,20.51%,6.42亿元,-
600790,601916,其他,-,-,-
600795,2063,其他,6.20%,1.22亿元,-
600797,925,联营企业,10.42%,4.21亿元,-
600811,600016,联营企业,2.92%,125.87亿元,-
600811,600190,联营企业,15.39%,9.97亿元,-
600839,404,子公司,30.00%,7.55亿元,是
600839,521,子公司,26.98%,10.36亿元,是
600864,600016,其他,0.28%,-,-
600864,601901,其他,2.40%,-,-
600886,899,联营企业,33.72%,19.83亿元,-
600886,600323,联营企业,8.62%,9.47亿元,-
600893,738,联营企业,18.06%,-,-
600900,600021,联营企业,-,7.07亿元,-
600900,600674,联营企业,11.12%,44.42亿元,-
600900,600886,联营企业,10.71%,58.95亿元,-
600900,600098,联营企业,19.62%,30.29亿元,-
600900,883,联营企业,28.45%,66.32亿元,-
600900,600116,联营企业,20.00%,15.40亿元,-
600981,2672,联营企业,10.73%,-,-
600998,600129,联营企业,4.21%,3.64亿元,-
601009,600901,联营企业,21.09%,23.63亿元,-
601225,601012,联营企业,8.12%,47.10亿元,-
601318,600315,孙公司,51.85%,-,是
601318,1,子公司,58.00%,647.18亿元,是
601319,601166,其他,-,-,-
601319,600015,联营企业,-,-,-
601328,601128,联营企业,9.01%,-,-
601390,600528,孙公司,52.13%,50.73亿元,是
601628,600050,联营企业,10.29%,218.73亿元,-
601668,2302,子公司,57.79%,-,是
601688,600919,其他,5.54%,57.79亿元,-
601727,600835,子公司,48.81%,16.71亿元,是
601727,2564,子公司,-,6.65亿元,是
601800,600320,联营企业,16.24%,39.07亿元,-
601898,600508,子公司,62.43%,23.38亿元,是
601933,759,联营企业,29.86%,3.22亿元,-
601933,2697,联营企业,21.00%,17.53亿元,-
601933,300094,联营企业,-,6.36亿元,-
601989,600482,联营企业,-,68.37亿元,-
601992,401,孙公司,37.00%,10.91亿元,是
603197,603197,孙公司,100.00%,-,是
603888,300571,其他,0.83%,5000.00万元,-
830809,601997,其他,-,-,-
