股东股票代码2,股票代码,持有数量,持有价值,占流通股比例,日期
600958,600021,3528.17万,2.78亿,1.50%,2019-09-30
600900,600021,1.27亿,10.00亿,5.40%,2019-09-30
601377,600025,3300.00万,1.40亿,0.37%,2019-09-30
601727,600027,7500.00万,2.69亿,1.07%,2019-09-30
600642,600027,1.43亿,5.11亿,2.04%,2019-09-30
601628,600028,4.82亿,24.19亿,0.50%,2019-09-30
601211,600028,1.15亿,5.76亿,0.12%,2019-09-30
601021,600029,1.41亿,9.32亿,1.73%,2019-09-30
001965,600033,4.87亿,14.95亿,17.75%,2019-09-30
001965,600035,2.63亿,8.83亿,17.23%,2019-09-30
600637,600037,2031.14万,1.89亿,1.46%,2019-09-30
600977,600037,1354.10万,1.26亿,0.97%,2019-09-30
600208,600037,2031.14万,1.89亿,1.46%,2019-09-30
601628,600062,653.05万,7967.18万,0.63%,2019-09-30
000563,600067,3812.24万,1.51亿,2.55%,2019-09-30
000672,600070,414.50万,3651.74万,0.94%,2019-09-30
600604,600097,383.39万,3948.88万,1.69%,2019-09-30
600900,600098,4.90亿,30.29亿,17.98%,2019-09-30
000690,600109,1892.95万,1.65亿,0.63%,2019-09-30
600120,600113,2.03亿,14.24亿,49.29%,2019-09-30
600900,600116,1.60亿,11.42亿,16.08%,2019-09-30
600998,600129,2343.75万,2.68亿,4.31%,2019-09-30
600345,600133,3364.07万,1.76亿,4.85%,2019-09-30
000027,600137,107.95万,1588.99万,1.11%,2019-09-30
601336,600153,4824.56万,4.20亿,1.70%,2019-09-30
600903,600155,3578.69万,4.69亿,3.17%,2019-09-30
600395,600155,7157.38万,9.38亿,6.34%,2019-09-30
000570,600166,1.43亿,2.83亿,2.17%,2019-09-30
000338,600166,8000.00万,1.58亿,1.22%,2019-09-30
300070,600168,3573.11万,2.39亿,5.04%,2019-09-30
600352,600173,5009.65万,2.68亿,7.16%,2019-09-30
600030,600180,1784.66万,1.35亿,1.76%,2019-09-30
601628,600183,1304.37万,3.25亿,0.57%,2019-09-30
600999,600184,1374.28万,1.56亿,2.70%,2019-09-30
601628,600188,2134.15万,2.27亿,0.72%,2019-09-30
601336,600188,3585.15万,3.82亿,1.21%,2019-09-30
600811,600190,3.08亿,9.37亿,17.32%,2019-09-30
600900,600236,3.05亿,13.93亿,3.88%,2019-09-30
601162,600260,606.93万,9103.95万,0.64%,2019-09-30
600030,600273,1604.26万,1.70亿,1.13%,2019-09-30
600030,600277,700.41万,2997.76万,0.26%,2019-09-30
600030,600280,3470.14万,1.09亿,3.05%,2019-09-30
601628,600298,1489.78万,4.03亿,1.81%,2019-09-30
601211,600298,1246.49万,3.37亿,1.51%,2019-09-30
601788,600305,500.00万,6755.00万,0.64%,2019-09-30
600585,600318,3633.14万,2.68亿,7.51%,2019-09-30
601800,600320,8.56亿,28.92亿,25.75%,2019-09-30
600886,600323,6601.45万,11.70亿,8.62%,2019-09-30
600030,600346,8024.67万,11.98亿,1.73%,2019-09-30
001965,600350,7.71亿,33.68亿,16.02%,2019-09-30
000882,600361,354.90万,1309.58万,0.53%,2019-09-30
001965,600368,1.56亿,7.30亿,13.86%,2019-09-30
601211,600377,4824.44万,5.01亿,1.27%,2019-09-30
001965,600377,5.89亿,61.20亿,15.50%,2019-09-30
600030,600388,1920.27万,1.91亿,1.80%,2019-09-30
601336,600390,2788.21万,2.02亿,4.52%,2019-09-30
600111,600392,1872.33万,1.71亿,1.31%,2019-09-30
601336,600406,4207.83万,8.61亿,1.43%,2019-09-30
601628,600426,1776.07万,2.92亿,1.10%,2019-09-30
601066,600435,1187.52万,9998.93万,0.80%,2019-09-30
601628,600436,222.96万,2.27亿,0.37%,2019-09-30
601628,600438,1.20亿,15.31亿,4.06%,2019-09-30
601336,600456,1266.14万,3.40亿,2.94%,2019-09-30
600269,600476,686.40万,1.09亿,4.26%,2019-09-30
601628,600498,1229.51万,3.36亿,1.11%,2019-09-30
601898,600508,4.51亿,40.70亿,62.43%,2019-09-30
600511,600513,375.21万,2562.67万,1.31%,2019-09-30
601628,600519,330.93万,38.06亿,0.26%,2019-09-30
002130,600525,2925.85万,1.86亿,2.24%,2019-09-30
601390,600528,7258.51万,7.45亿,3.95%,2019-09-30
600661,600530,1.06亿,5.11亿,13.53%,2019-09-30
600611,600530,1.43亿,6.93亿,18.36%,2019-09-30
600064,600533,1.28亿,4.20亿,12.20%,2019-09-30
601066,600545,3792.41万,2.81亿,3.37%,2019-09-30
601628,600548,515.11万,5357.14万,0.36%,2019-09-30
001965,600548,8721.13万,9.07亿,6.08%,2019-09-30
600064,600549,2528.60万,3.39亿,1.80%,2019-09-30
000729,600573,1.25亿,8.80亿,50.08%,2019-09-30
601628,600578,7.31亿,22.00亿,13.70%,2019-09-30
600642,600578,7234.00万,2.18亿,1.36%,2019-09-30
000009,600589,250.00万,1287.50万,0.38%,2019-09-30
600100,600590,1.67亿,9.84亿,19.98%,2019-09-30
600684,600594,868.60万,4125.83万,1.10%,2019-09-30
600620,600606,2.78亿,19.65亿,2.29%,2019-09-30
600635,600611,4.73亿,19.07亿,30.27%,2019-09-30
601988,600618,260.60万,1975.33万,0.35%,2019-09-30
000651,600619,9022.32万,7.83亿,15.50%,2019-09-30
600604,600629,165.76万,1483.57万,0.37%,2019-09-30
300364,600640,514.23万,7749.41万,0.87%,2019-09-30
300113,600640,1033.35万,1.56亿,1.75%,2019-09-30
600837,600641,377.78万,5069.80万,0.47%,2019-09-30
600900,600642,1.82亿,10.12亿,4.00%,2019-09-30
000539,600642,5553.23万,3.08亿,1.22%,2019-09-30
600622,600647,245.70万,4393.12万,1.77%,2019-09-30
600269,600657,1.00亿,3.85亿,6.58%,2019-09-30
000725,600658,1374.73万,5952.58万,1.23%,2019-09-30
601628,600660,2244.71万,4.82亿,1.12%,2019-09-30
002233,600668,1002.77万,1.42亿,2.91%,2019-09-30
601688,600673,2776.47万,2.03亿,1.13%,2019-09-30
600900,600674,4.96亿,49.48亿,11.26%,2019-09-30
600028,600688,54.60亿,227.68亿,74.50%,2019-09-30
601688,600711,1739.50万,8906.25万,1.14%,2019-09-30
600153,600711,900.00万,4608.00万,0.59%,2019-09-30
601688,600712,627.09万,2445.65万,1.17%,2019-09-30
000623,600713,919.95万,3873.00万,1.03%,2019-09-30
002500,600714,105.51万,618.31万,0.37%,2019-09-30
000937,600722,1.77亿,9.43亿,26.06%,2019-09-30
601336,600739,6390.01万,8.45亿,4.18%,2019-09-30
000983,600740,8804.55万,6.74亿,13.40%,2019-09-30
600104,600741,18.39亿,432.09亿,58.32%,2019-09-30
600533,600743,2358.44万,5589.50万,1.01%,2019-09-30
600030,600748,2950.83万,1.76亿,1.60%,2019-09-30
600843,600757,1029.85万,6343.90万,0.85%,2019-09-30
601881,600763,400.00万,4.10亿,1.25%,2019-09-30
000937,600812,2.50亿,17.82亿,15.33%,2019-09-30
600327,600827,5562.01万,4.88亿,3.47%,2019-09-30
600664,600829,4.34亿,30.85亿,74.82%,2019-09-30
600637,600831,1952.70万,1.86亿,2.75%,2019-09-30
600100,600831,941.35万,8942.80万,1.33%,2019-09-30
000623,600833,1082.14万,1.03亿,4.85%,2019-09-30
600649,600834,833.45万,5767.45万,1.75%,2019-09-30
601727,600835,4.91亿,81.67亿,60.89%,2019-09-30
600104,600841,4.16亿,30.40亿,79.80%,2019-09-30
000581,600841,1298.76万,9480.95万,2.49%,2019-09-30
600019,600845,5.79亿,207.21亿,69.55%,2019-09-30
601628,600872,660.02万,2.80亿,0.83%,2019-09-30
000623,600881,1.29亿,3.82亿,3.99%,2019-09-30
600030,600884,1497.45万,1.60亿,1.33%,2019-09-30
600900,600886,7.20亿,64.87亿,10.61%,2019-09-30
601628,600887,6610.89万,18.85亿,1.09%,2019-09-30
600883,600888,7180.64万,3.37亿,8.54%,2019-09-30
600089,600888,2.35亿,11.00亿,27.91%,2019-09-30
601009,600901,6.30亿,36.16亿,34.61%,2019-09-30
600278,600909,1.69亿,10.40亿,6.25%,2019-09-30
000543,600909,2.00亿,12.32亿,7.40%,2019-09-30
600287,600909,1.00亿,6.16亿,3.70%,2019-09-30
600120,600909,7200.00万,4.44亿,2.66%,2019-09-30
601688,600919,6.40亿,42.94亿,5.61%,2019-09-30
601628,600926,1.18亿,9.94亿,5.65%,2019-09-30
600865,600926,3528.00万,2.98亿,1.69%,2019-09-30
601881,600929,230.00万,1607.70万,0.68%,2019-09-30
600170,600958,1.34亿,13.62亿,2.35%,2019-09-30
600639,600958,1.39亿,14.14亿,2.44%,2019-09-30
000898,600961,463.16万,4191.60万,0.88%,2019-09-30
601628,600977,1135.67万,1.75亿,0.61%,2019-09-30
600051,600982,224.00万,680.96万,0.30%,2019-09-30
000157,600984,1946.00万,1.75亿,2.48%,2019-09-30
000009,600993,1.26亿,21.16亿,29.32%,2019-09-30
000538,600998,2724.80万,3.89亿,1.63%,2019-09-30
601800,600999,2.09亿,34.45亿,3.66%,2019-09-30
601077,601005,2.89亿,5.32亿,3.45%,2019-09-30
600064,601009,8.35亿,71.74亿,9.85%,2019-09-30
601225,601012,1.45亿,37.92亿,3.84%,2019-09-30
600030,601066,3.84亿,85.60亿,44.37%,2019-09-30
001965,601107,6.64亿,24.98亿,30.72%,2019-09-30
601328,601128,2.47亿,18.25亿,9.59%,2019-09-30
601628,601138,1662.00万,2.39亿,1.03%,2019-09-30
601628,601155,700.58万,1.99亿,0.31%,2019-09-30
001965,601188,2.17亿,6.63亿,16.52%,2019-09-30
600350,601198,1.20亿,13.14亿,4.35%,2019-09-30
000700,601199,4815.10万,1.79亿,5.15%,2019-09-30
000027,601211,1.54亿,27.14亿,2.06%,2019-09-30
600098,601228,1.00亿,3.80亿,6.93%,2019-09-30
000100,601229,2.53亿,23.67亿,3.75%,2019-09-30
600018,601229,1.42亿,13.24亿,2.10%,2019-09-30
601377,601231,914.00万,1.41亿,0.42%,2019-09-30
601688,601236,109.49万,1634.67万,0.30%,2019-09-30
601628,601288,34.99亿,121.05亿,1.19%,2019-09-30
601006,601326,4275.00万,1.33亿,2.59%,2019-09-30
600741,601377,1.62亿,10.09亿,2.42%,2019-09-30
601628,601398,7.20亿,39.80亿,0.27%,2019-09-30
001965,601518,1.90亿,5.05亿,15.63%,2019-09-30
600031,601577,4975.09万,4.28亿,5.00%,2019-09-30
600790,601579,1.02亿,8.81亿,20.51%,2019-09-30
600859,601588,1.25亿,4.13亿,4.71%,2019-09-30
600258,601598,1335.47万,5675.77万,0.99%,2019-09-30
601688,601615,197.92万,2450.30万,0.72%,2019-09-30
601901,601615,175.09万,2167.61万,0.63%,2019-09-30
002024,601688,1.78亿,34.01亿,2.42%,2019-09-30
601688,601698,95.33万,1115.40万,0.24%,2019-09-30
601336,601699,3136.31万,2.27亿,1.05%,2019-09-30
000778,601718,1.93亿,6.87亿,4.39%,2019-09-30
601811,601801,1.25亿,6.78亿,6.26%,2019-09-30
600837,601808,370.92万,4543.77万,0.13%,2019-09-30
601811,601838,8000.00万,6.51亿,4.29%,2019-09-30
601628,601872,1.10亿,5.26亿,2.08%,2019-09-30
601377,601877,2650.01万,5.78亿,1.49%,2019-09-30
600380,601881,2598.30万,2.83亿,2.12%,2019-09-30
600864,601901,1.98亿,13.61亿,2.40%,2019-09-30
600023,601985,4.46亿,23.57亿,2.86%,2019-09-30
601628,601988,13.24亿,47.40亿,0.63%,2019-09-30
600903,601997,7327.60万,6.24亿,2.39%,2019-09-30
603816,603008,1737.50万,2.16亿,5.44%,2019-09-30
002500,603022,94.15万,804.98万,0.47%,2019-09-30
601066,603055,121.60万,879.17万,0.86%,2019-09-30
002320,603069,1185.00万,7821.00万,3.75%,2019-09-30
000886,603069,5925.00万,3.91亿,18.75%,2019-09-30
002126,603079,286.10万,1.03亿,7.84%,2019-09-30
000750,603127,155.71万,1.06亿,1.98%,2019-09-30
002500,603139,36.45万,607.26万,0.68%,2019-09-30
600720,603169,800.00万,5128.00万,0.77%,2019-09-30
601688,603177,19.78万,209.87万,0.32%,2019-09-30
600285,603188,1600.00万,1.25亿,2.78%,2019-09-30
601688,603192,14.50万,401.19万,0.54%,2019-09-30
002226,603227,4800.00万,1.91亿,7.29%,2019-09-30
002096,603227,2000.00万,7940.00万,3.04%,2019-09-30
601377,603228,245.19万,1.13亿,1.75%,2019-09-30
002500,603238,19.13万,330.91万,0.64%,2019-06-30
002274,603299,1251.00万,9532.62万,2.24%,2019-09-30
600981,603299,1097.82万,8365.37万,1.96%,2019-09-30
601688,603332,9.89万,272.02万,0.33%,2019-09-30
601688,603358,239.79万,3275.53万,1.74%,2019-09-30
601688,603389,32.31万,215.48万,0.43%,2019-09-30
601688,603421,32.40万,583.18万,0.44%,2019-09-30
601377,603505,284.00万,5716.92万,2.53%,2019-09-30
002161,603508,1629.83万,9.70亿,10.34%,2019-09-30
601688,603530,17.58万,377.97万,0.44%,2019-09-30
601881,603533,802.00万,1.15亿,4.92%,2019-09-30
002500,603578,50.01万,940.76万,1.57%,2019-09-30
002500,603580,53.30万,664.70万,1.26%,2019-09-30
000750,603595,96.80万,2546.69万,1.39%,2019-09-30
002475,603595,661.50万,1.74亿,9.49%,2019-09-30
002500,603598,76.08万,585.06万,0.28%,2019-09-30
601881,603606,909.60万,1.06亿,1.42%,2019-09-30
601628,603613,23.39万,1434.51万,0.66%,2019-09-30
000750,603613,75.69万,4642.27万,2.15%,2019-09-30
000776,603613,42.27万,2592.35万,1.20%,2019-09-30
600958,603658,145.37万,1.29亿,0.35%,2019-09-30
601108,603666,38.01万,2433.93万,1.35%,2019-09-30
600282,603667,497.06万,3966.54万,4.38%,2019-09-30
002500,603685,21.19万,257.61万,0.37%,2019-09-30
600350,603686,2065.66万,2.39亿,4.97%,2019-09-30
601918,603689,1411.20万,1.53亿,8.43%,2019-09-30
601881,603707,540.69万,2.01亿,1.46%,2019-09-30
601688,603709,18.66万,507.51万,0.93%,2019-09-30
000100,603712,1.47亿,32.54亿,40.18%,2019-09-30
600352,603713,188.89万,6072.81万,2.78%,2019-09-30
601688,603797,57.50万,700.98万,0.64%,2019-09-30
601688,603817,48.46万,325.18万,0.27%,2019-09-30
002500,603822,40.65万,969.41万,0.55%,2019-09-30
002736,603826,205.99万,2945.61万,1.09%,2019-09-30
600611,603885,2316.02万,3.17亿,1.29%,2019-09-30
600030,603886,98.90万,1851.41万,0.82%,2019-09-30
601801,603888,383.54万,7651.60万,2.17%,2019-09-30
601688,603915,40.96万,723.76万,0.49%,2019-09-30
600837,603929,150.88万,2395.97万,1.56%,2019-09-30
000525,603970,691.20万,8681.47万,7.24%,2019-09-30
600551,603999,314.82万,1778.73万,0.55%,2019-09-30
601211,688003,18.80万,711.58万,0.43%,2019-09-30
002736,688006,40.21万,1861.06万,1.09%,2019-09-30
601688,688009,1290.00万,1.09亿,1.09%,2019-09-30
601211,688009,1677.36万,1.42亿,1.42%,2019-09-30
600999,688009,350.20万,2962.72万,0.30%,2019-09-30
601211,688010,46.94万,2449.49万,1.32%,2019-09-30
601788,688012,100.00万,6885.02万,2.06%,2019-09-30
600030,688016,13.43万,1749.56万,0.96%,2019-09-30
601211,688016,9.29万,1209.81万,0.66%,2019-09-30
600999,688018,41.00万,6170.22万,2.35%,2019-09-30
601211,688019,7.45万,978.33万,0.64%,2019-09-30
601211,688022,17.29万,966.58万,0.71%,2019-09-30
601066,688028,17.63万,1647.13万,0.97%,2019-09-30
600030,688029,61.11万,8137.41万,2.00%,2019-09-30
600030,688036,67.69万,3912.70万,0.95%,2019-09-30
002736,688066,60.83万,2793.26万,1.62%,2019-09-30
601688,688068,10.23万,724.99万,0.72%,2019-09-30
601211,688099,31.33万,2167.84万,0.84%,2019-09-30
601066,688122,18.00万,697.68万,0.45%,2019-09-30
601881,688168,7.05万,884.77万,0.61%,2019-09-30
600837,688168,7.87万,987.99万,0.68%,2019-09-30
